K value:  5 

+---------------+--------------+
|  Point Index  |  Cluster No  |
+---------------+--------------+
|            0  |           3  |
|            1  |           3  |
|            2  |           3  |
|            3  |           4  |
|            4  |           3  |
|            5  |           3  |
|            6  |           3  |
|            7  |           3  |
|            8  |           4  |
|            9  |           1  |
|           10  |           3  |
|           11  |           3  |
|           12  |           3  |
|           13  |           3  |
|           14  |           3  |
|           15  |           4  |
|           16  |           3  |
|           17  |           4  |
|           18  |           3  |
|           19  |           4  |
|           20  |           3  |
|           21  |           4  |
|           22  |           2  |
|           23  |           1  |
|           24  |           1  |
|           25  |           3  |
|           26  |           4  |
|           27  |           4  |
|           28  |           1  |
|           29  |           4  |
|           30  |           4  |
|           31  |           4  |
|           32  |           4  |
|           33  |           4  |
|           34  |           4  |
|           35  |           3  |
|           36  |           4  |
|           37  |           3  |
|           38  |           1  |
|           39  |           2  |
|           40  |           2  |
|           41  |           4  |
|           42  |           3  |
|           43  |           1  |
|           44  |           3  |
|           45  |           1  |
|           46  |           1  |
|           47  |           0  |
|           48  |           3  |
|           49  |           1  |
|           50  |           4  |
|           51  |           4  |
|           52  |           3  |
|           53  |           3  |
|           54  |           4  |
|           55  |           4  |
|           56  |           1  |
|           57  |           1  |
|           58  |           4  |
|           59  |           4  |
|           60  |           3  |
|           61  |           0  |
|           62  |           3  |
|           63  |           1  |
|           64  |           4  |
|           65  |           1  |
|           66  |           4  |
|           67  |           3  |
|           68  |           4  |
|           69  |           4  |
|           70  |           4  |
|           71  |           2  |
|           72  |           4  |
|           73  |           3  |
|           74  |           3  |
|           75  |           4  |
|           76  |           4  |
|           77  |           1  |
|           78  |           4  |
|           79  |           4  |
|           80  |           4  |
|           81  |           1  |
|           82  |           3  |
|           83  |           4  |
|           84  |           3  |
|           85  |           0  |
|           86  |           0  |
|           87  |           2  |
|           88  |           4  |
|           89  |           4  |
|           90  |           4  |
|           91  |           4  |
|           92  |           1  |
|           93  |           2  |
|           94  |           3  |
|           95  |           4  |
|           96  |           3  |
|           97  |           4  |
|           98  |           4  |
|           99  |           4  |
|          100  |           1  |
|          101  |           1  |
|          102  |           3  |
|          103  |           2  |
|          104  |           4  |
|          105  |           4  |
|          106  |           3  |
|          107  |           1  |
|          108  |           3  |
|          109  |           3  |
|          110  |           4  |
|          111  |           1  |
|          112  |           4  |
|          113  |           4  |
|          114  |           4  |
|          115  |           4  |
|          116  |           4  |
|          117  |           4  |
|          118  |           4  |
|          119  |           4  |
|          120  |           4  |
|          121  |           4  |
|          122  |           4  |
|          123  |           3  |
|          124  |           4  |
|          125  |           2  |
|          126  |           4  |
|          127  |           3  |
|          128  |           4  |
|          129  |           4  |
|          130  |           4  |
|          131  |           4  |
|          132  |           4  |
|          133  |           4  |
|          134  |           4  |
|          135  |           4  |
|          136  |           4  |
|          137  |           4  |
|          138  |           4  |
|          139  |           4  |
|          140  |           4  |
|          141  |           4  |
|          142  |           4  |
|          143  |           4  |
|          144  |           4  |
|          145  |           1  |
|          146  |           4  |
|          147  |           4  |
|          148  |           4  |
|          149  |           4  |
|          150  |           4  |
|          151  |           4  |
|          152  |           4  |
|          153  |           4  |
|          154  |           4  |
|          155  |           1  |
|          156  |           1  |
|          157  |           4  |
|          158  |           3  |
|          159  |           1  |
|          160  |           3  |
|          161  |           4  |
|          162  |           4  |
|          163  |           1  |
|          164  |           3  |
|          165  |           1  |
|          166  |           3  |
|          167  |           4  |
|          168  |           4  |
|          169  |           4  |
|          170  |           1  |
|          171  |           1  |
|          172  |           4  |
|          173  |           1  |
|          174  |           4  |
|          175  |           3  |
|          176  |           4  |
|          177  |           4  |
|          178  |           4  |
|          179  |           4  |
|          180  |           4  |
|          181  |           0  |
|          182  |           4  |
|          183  |           0  |
|          184  |           4  |
|          185  |           4  |
|          186  |           4  |
|          187  |           4  |
|          188  |           3  |
|          189  |           3  |
|          190  |           4  |
|          191  |           4  |
|          192  |           4  |
|          193  |           3  |
|          194  |           4  |
|          195  |           4  |
|          196  |           2  |
|          197  |           3  |
|          198  |           2  |
|          199  |           2  |
|          200  |           1  |
|          201  |           1  |
|          202  |           2  |
|          203  |           2  |
|          204  |           2  |
|          205  |           1  |
|          206  |           2  |
|          207  |           2  |
|          208  |           2  |
|          209  |           1  |
|          210  |           2  |
|          211  |           1  |
|          212  |           2  |
|          213  |           2  |
|          214  |           3  |
|          215  |           2  |
|          216  |           1  |
|          217  |           2  |
|          218  |           1  |
|          219  |           2  |
|          220  |           2  |
|          221  |           2  |
|          222  |           2  |
|          223  |           2  |
|          224  |           2  |
|          225  |           2  |
|          226  |           2  |
|          227  |           2  |
|          228  |           2  |
|          229  |           2  |
|          230  |           2  |
|          231  |           2  |
|          232  |           2  |
|          233  |           2  |
|          234  |           2  |
|          235  |           2  |
|          236  |           2  |
|          237  |           2  |
|          238  |           2  |
|          239  |           2  |
|          240  |           2  |
|          241  |           2  |
|          242  |           2  |
|          243  |           2  |
|          244  |           2  |
|          245  |           1  |
|          246  |           2  |
|          247  |           2  |
|          248  |           2  |
|          249  |           2  |
|          250  |           2  |
|          251  |           1  |
|          252  |           2  |
|          253  |           2  |
|          254  |           2  |
|          255  |           2  |
|          256  |           2  |
|          257  |           2  |
|          258  |           2  |
|          259  |           2  |
|          260  |           2  |
|          261  |           2  |
|          262  |           2  |
|          263  |           2  |
|          264  |           1  |
|          265  |           2  |
|          266  |           1  |
|          267  |           2  |
|          268  |           1  |
|          269  |           2  |
|          270  |           2  |
|          271  |           2  |
|          272  |           2  |
|          273  |           4  |
|          274  |           4  |
|          275  |           4  |
|          276  |           4  |
|          277  |           4  |
|          278  |           4  |
|          279  |           3  |
|          280  |           4  |
|          281  |           3  |
|          282  |           4  |
|          283  |           4  |
|          284  |           2  |
|          285  |           4  |
|          286  |           4  |
|          287  |           4  |
|          288  |           4  |
|          289  |           4  |
|          290  |           4  |
|          291  |           4  |
|          292  |           4  |
|          293  |           3  |
|          294  |           2  |
|          295  |           3  |
|          296  |           2  |
|          297  |           3  |
|          298  |           3  |
|          299  |           2  |
|          300  |           3  |
|          301  |           1  |
|          302  |           3  |
|          303  |           1  |
|          304  |           1  |
|          305  |           3  |
|          306  |           1  |
|          307  |           2  |
|          308  |           2  |
|          309  |           1  |
|          310  |           2  |
|          311  |           2  |
|          312  |           1  |
|          313  |           2  |
|          314  |           2  |
|          315  |           3  |
|          316  |           2  |
|          317  |           2  |
|          318  |           2  |
|          319  |           1  |
|          320  |           2  |
|          321  |           2  |
|          322  |           2  |
|          323  |           2  |
|          324  |           2  |
|          325  |           2  |
|          326  |           2  |
|          327  |           2  |
|          328  |           2  |
|          329  |           2  |
|          330  |           2  |
|          331  |           1  |
|          332  |           2  |
|          333  |           1  |
|          334  |           2  |
|          335  |           3  |
|          336  |           2  |
|          337  |           2  |
|          338  |           2  |
|          339  |           2  |
|          340  |           3  |
|          341  |           3  |
|          342  |           4  |
|          343  |           1  |
|          344  |           4  |
|          345  |           4  |
|          346  |           1  |
|          347  |           3  |
|          348  |           4  |
|          349  |           1  |
|          350  |           4  |
|          351  |           1  |
|          352  |           4  |
|          353  |           1  |
|          354  |           4  |
|          355  |           4  |
|          356  |           4  |
|          357  |           1  |
|          358  |           4  |
|          359  |           4  |
|          360  |           4  |
|          361  |           4  |
|          362  |           4  |
|          363  |           4  |
|          364  |           4  |
|          365  |           3  |
|          366  |           4  |
|          367  |           4  |
|          368  |           4  |
|          369  |           4  |
|          370  |           3  |
|          371  |           4  |
|          372  |           4  |
|          373  |           3  |
|          374  |           4  |
|          375  |           4  |
|          376  |           3  |
|          377  |           4  |
|          378  |           4  |
|          379  |           3  |
|          380  |           4  |
|          381  |           4  |
|          382  |           4  |
|          383  |           4  |
|          384  |           2  |
|          385  |           4  |
|          386  |           4  |
|          387  |           4  |
|          388  |           4  |
|          389  |           4  |
|          390  |           4  |
|          391  |           4  |
|          392  |           4  |
|          393  |           4  |
|          394  |           4  |
|          395  |           4  |
|          396  |           3  |
|          397  |           4  |
|          398  |           4  |
|          399  |           4  |
|          400  |           4  |
|          401  |           2  |
|          402  |           4  |
|          403  |           4  |
|          404  |           4  |
|          405  |           4  |
|          406  |           4  |
|          407  |           1  |
|          408  |           3  |
|          409  |           4  |
|          410  |           4  |
|          411  |           4  |
|          412  |           4  |
|          413  |           2  |
|          414  |           4  |
|          415  |           3  |
|          416  |           1  |
|          417  |           4  |
|          418  |           1  |
|          419  |           4  |
|          420  |           4  |
|          421  |           3  |
|          422  |           4  |
|          423  |           3  |
|          424  |           3  |
|          425  |           4  |
|          426  |           4  |
|          427  |           2  |
|          428  |           4  |
|          429  |           4  |
|          430  |           4  |
|          431  |           4  |
|          432  |           4  |
|          433  |           4  |
|          434  |           4  |
|          435  |           2  |
|          436  |           4  |
|          437  |           1  |
|          438  |           4  |
|          439  |           4  |
+---------------+--------------+

Objective value of the final solution: 722.03

Process finished with exit code 0
